Source,Target,Weight
聞/verb,問/verb,3
曰/verb,聞/verb,3
聞/verb,曰/verb,3
曰/verb,如/verb,3
如/verb,曰/verb,3
道/noun,事/verb,3
事/verb,道/noun,3
年/noun,有/verb,3
有/verb,年/noun,3
民/noun,禮/noun,3
禮/noun,民/noun,3
非/adv,邦/noun,3
邦/noun,非/adv,3
難/verb,無/verb,3
無/verb,難/verb,3
民/noun,信/verb,3
信/verb,民/noun,3
人/noun,邦/noun,3
在/verb,無/verb,3
邦/noun,人/noun,3
無/verb,在/verb,3
無/verb,立/verb,3
立/verb,無/verb,3
政/noun,子/noun,3
子/noun,政/noun,3
道/noun,如/verb,3
如/verb,道/noun,3
身/noun,以/verb,3
以/verb,身/noun,3
聞/verb,達/verb,3
達/verb,聞/verb,3
直/verb,好/verb,3
好/verb,直/verb,3
好/verb,義/noun,3
義/noun,好/verb,3
為/verb,年/noun,3
年/noun,為/verb,3
則/adv,莫/adv,3
民/noun,莫/adv,3
莫/adv,則/adv,3
莫/adv,民/noun,3
君子/noun,知/verb,3
知/verb,君子/noun,3
言/verb,行/verb,3
行/verb,言/verb,3
直/verb,父/noun,3
父/noun,直/verb,3
小/verb,則/adv,3
則/adv,小/verb,3
則/adv,大/verb,3
大/verb,則/adv,3
曰/verb,君/noun,3
君/noun,曰/verb,3
莫/adv,如/verb,3
如/verb,莫/adv,3
中/noun,行/verb,3
行/verb,中/noun,3
怨/verb,以/verb,3
以/verb,怨/verb,3
仁/verb,有/verb,3
仁/verb,未/adv,3
有/verb,仁/verb,3
未/adv,仁/verb,3
有/verb,德/noun,3
德/noun,有/verb,3
為/verb,今/noun,3
今/noun,為/verb,3
以/verb,直/verb,3
直/verb,以/verb,3
與/verb,失/verb,3
失/verb,與/verb,3
失/verb,言/noun,3
失/verb,知/verb,3
言/noun,失/verb,3
知/verb,失/verb,3
大/verb,賢/verb,3
賢/verb,大/verb,3
則/adv,遠/verb,3
遠/verb,則/adv,3
言/noun,及/verb,3
及/verb,言/noun,3
義/noun,以/verb,3
以/verb,義/noun,3
知/verb,及/verb,3
及/verb,知/verb,3
及/verb,仁/noun,3
仁/noun,及/verb,3
知/verb,上/noun,3
上/noun,知/verb,3
聞/verb,禮/noun,3
禮/noun,聞/verb,3
行/verb,義/noun,3
義/noun,行/verb,3
思/verb,問/verb,3
問/verb,思/verb,3
學/verb,禮/noun,3
禮/noun,學/verb,3
禮/noun,云/verb,3
云/verb,禮/noun,3
有/verb,惡/noun,3
惡/noun,有/verb,3
道/noun,焉/adv,3
焉/adv,道/noun,3
焉/adv,有/verb,3
有/verb,焉/adv,3
日/noun,身/noun,2
身/noun,日/noun,2
身/noun,為/verb,2
為/verb,身/noun,2
民/noun,德/noun,2
德/noun,民/noun,2
夫子/noun,邦/noun,2
至/verb,邦/noun,2
邦/noun,夫子/noun,2
邦/noun,至/verb,2
必/adv,政/noun,2
聞/verb,求/verb,2
政/noun,必/adv,2
求/verb,聞/verb,2
仁/noun,行/verb,2
行/verb,仁/noun,2
則/adv,學/noun,2
學/noun,則/adv,2
信/verb,無/verb,2
無/verb,信/verb,2
過/noun,則/adv,2
則/adv,過/noun,2
以/verb,夫子/noun,2
得/verb,求/verb,2
夫子/noun,以/verb,2
夫子/noun,求/verb,2
求/verb,得/verb,2
求/verb,夫子/noun,2
言/verb,有/verb,2
有/verb,言/verb,2
學/verb,必/adv,2
學/verb,謂/verb,2
必/adv,學/verb,2
謂/verb,學/verb,2
年/noun,無/verb,2
無/verb,年/noun,2
無/verb,父/noun,2
父/noun,無/verb,2
父/noun,道/noun,2
父/noun,謂/verb,2
道/noun,父/noun,2
謂/verb,父/noun,2
與/verb,言/noun,2
言/noun,與/verb,2
行/verb,知/verb,2
知/verb,行/verb,2
居/verb,無/verb,2
無/verb,居/verb,2
謂/verb,好/verb,2
謂/verb,學/noun,2
好/verb,謂/verb,2
學/noun,謂/verb,2
以/verb,曰/verb,2
曰/verb,以/verb,2
思/verb,無/verb,2
無/verb,思/verb,2
立/verb,知/verb,2
知/verb,立/verb,2
事/noun,以/verb,2
以/verb,事/noun,2
道/noun,政/noun,2
政/noun,道/noun,2
道/noun,德/noun,2
德/noun,道/noun,2
日/noun,如/verb,2
如/verb,日/noun,2
言/noun,後/noun,2
言/noun,從/verb,2
後/noun,言/noun,2
從/verb,言/noun,2
學/verb,思/verb,2
思/verb,學/verb,2
直/verb,則/adv,2
則/adv,直/verb,2
則/adv,敬/verb,2
敬/verb,則/adv,2
善/verb,則/adv,2
則/adv,善/verb,2
人/noun,信/verb,2
信/verb,人/noun,2
信/verb,知/verb,2
知/verb,信/verb,2
無/verb,何/adv,2
何/adv,無/verb,2
政/noun,亦/adv,2
亦/adv,政/noun,2
見/verb,義/noun,2
義/noun,見/verb,2
為/verb,勇/noun,2
勇/noun,為/verb,2
仁/verb,禮/noun,2
禮/noun,仁/verb,2
禮/noun,人/noun,2
人/noun,禮/noun,2
仁/verb,樂/noun,2
樂/noun,仁/verb,2
有/verb,君/noun,2
君/noun,有/verb,2
大/verb,問/verb,2
大/verb,禮/noun,2
問/verb,大/verb,2
禮/noun,大/verb,2
禮/noun,後/noun,2
後/noun,禮/noun,2
無/verb,必/adv,2
必/adv,無/verb,2
知/verb,說/verb,2
說/verb,知/verb,2
子/noun,知/verb,2
知/verb,子/noun,2
君/noun,禮/noun,2
禮/noun,君/noun,2
君/noun,使/verb,2
使/verb,君/noun,2
臣/noun,禮/noun,2
禮/noun,臣/noun,2
至/verb,未/adv,2
未/adv,至/verb,2
上/noun,為/verb,2
為/verb,上/noun,2
子/noun,何/adv,2
何/adv,子/noun,2
道/noun,天/noun,2
天/noun,道/noun,2
天/noun,以/verb,2
以/verb,天/noun,2
仁/verb,好/verb,2
好/verb,仁/verb,2
好/verb,惡/verb,2
惡/verb,好/verb,2
仁/noun,惡/noun,2
惡/noun,仁/noun,2
仁/verb,以/verb,2
以/verb,仁/verb,2
邦/noun,君/noun,2
君/noun,邦/noun,2
邦/noun,為/verb,2
為/verb,邦/noun,2
士/noun,志/noun,2
志/noun,士/noun,2
志/noun,道/noun,2
道/noun,志/noun,2
道/noun,惡/verb,2
惡/verb,道/noun,2
君子/noun,天/noun,2
天/noun,君子/noun,2
君子/noun,德/noun,2
德/noun,君子/noun,2
好/verb,惡/noun,2
惡/noun,好/verb,2
惡/noun,仁/verb,2
仁/verb,惡/noun,2
惡/noun,為/verb,2
仁/verb,為/verb,2
為/verb,惡/noun,2
為/verb,仁/verb,2
為/verb,使/verb,2
使/verb,為/verb,2
日/noun,用/verb,2
用/verb,日/noun,2
用/verb,仁/noun,2
仁/noun,用/verb,2
知/verb,求/verb,2
求/verb,知/verb,2
人/noun,欲/verb,2
欲/verb,人/noun,2
仁/noun,成/verb,2
成/verb,仁/noun,2
見/verb,從/verb,2
從/verb,見/verb,2
父/noun,年/noun,2
年/noun,父/noun,2
人/noun,仁/noun,2
仁/noun,人/noun,2
非/adv,及/verb,2
及/verb,非/adv,2
以/verb,謂/verb,2
謂/verb,以/verb,2
言/noun,信/verb,2
信/verb,言/noun,2
學/noun,下/noun,2
下/noun,學/noun,2
問/verb,謂/verb,2
謂/verb,問/verb,2
夫子/noun,言/noun,2
言/noun,夫子/noun,2
未/adv,焉/adv,2
知/verb,得/verb,2
焉/adv,未/adv,2
得/verb,知/verb,2
上/noun,敬/verb,2
敬/verb,上/noun,2
曰/verb,大/verb,2
大/verb,曰/verb,2
見/verb,過/noun,2
過/noun,見/verb,2
敬/verb,行/verb,2
行/verb,敬/verb,2
民/noun,亦/adv,2
亦/adv,民/noun,2
命/noun,死/verb,2
命/noun,今/noun,2
死/verb,命/noun,2
